name,email,phone,score,attendance,passed,dropped_reason
Denise Roberts,deniseroberts@hotmail.com,+44(0)3069990543,60,74,True,
Rhys Hutchinson,rhyshutchinsonZ@gmail.com,(020)74960286,85,99,True,
Irene Townsend,irenetownsend@hotmail.com,0121 4960639,52,93,False,Low score
Jodie Murray,jodiemurray@hotmail.com,+44(0)1632 960592,93,92,True,
Karl Cooper,karlcooper@hotmail.com,(0151) 496 0945,52,81,False,Low score
Beth Brown,bethbrown@gmail.com,+44131 4960451,66,99,True,
Zoe Page,zoepage@gmail.com,(0118) 496 0555,99,88,True,
Terry Ellis,terryellis@yahoo.com,+44(0)151 4960634,51,97,False,Low score
Mandy Field,mandyfield@yahoo.com,0113 4960214,58,78,False,Low score
Abbie West,abbiewest@gmail.com,0151 496 0790,99,92,True,
Sharon Gray,sharongray@yahoo.com,+44161 4960709,82,99,True,
Ruth Anderson,ruthanderson@yahoo.com,0113 4960172,51,95,False,Low score
Helen Berry,helenberry@hotmail.com,+441164960805,89,82,True,
Gerald Reynolds,geraldreynolds@hotmail.com,(0121) 496 0705,56,69,False,Low score and Low attendance
Tracy Thomson,tracythomson@yahoo.com,(0191) 4960773,83,88,True,
Hollie Lloyd,hollielloyd@yahoo.com,+44(0)115 496 0441,62,91,True,
Bryan Green,bryangreen@hotmail.com,+44(0)20 74960125,94,86,True,
Cheryl Chapman,cherylchapman@gmail.com,(0141) 496 0003,84,86,True,
Marcus Hussain,marcushussain@hotmail.com,+44116 496 0982,95,66,False,Low attendance
Barbara Thomson,barbarathomson@gmail.com,0115 4960330,87,79,True,
Brett Smith,brettsmith@yahoo.com,(0121) 4960886,86,97,True,
Adam Walker,adamwalker@yahoo.com,(028)9018579,77,74,True,
Graham Stevenson,grahamstevenson@gmail.com,(0808) 157 0859,51,86,False,Low score
Frederick Cooper,frederickcooper@gmail.com,+441314960409,78,76,True,
Douglas Williams,douglaswilliams@gmail.com,+441174960671,64,99,True,
Alan Evans,alanevans@hotmail.com,01514960238,57,82,False,Low score
Jane Lee,janelee@gmail.com,+4429 2018 0566,60,84,True,
Leah Rhodes,leahrhodes@gmail.com,+441174960673,87,74,True,
Vincent Hill,vincenthill@gmail.com,+44(0)306 999 0880,78,97,True,
Sheila Mason,sheilamason@hotmail.com,029 2018 0939,50,94,False,Low score
George Greenwood,georgegreenwood@yahoo.com,0114 496 0834,81,92,True,
Steven Iqbal,steveniqbal@gmail.com,+443069990511,65,82,True,
Jayne Dixon,jaynedixon@gmail.com,01314960374,70,68,False,Low attendance
Tracy Ryan,tracyryan@yahoo.com,020 74960695,73,73,True,
Molly Hussain,mollyhussain@gmail.com,+44141 496 0614,58,77,False,Low score
Wayne Payne,waynepayne@yahoo.com,0115 4960010,83,89,True,
William Owens,williamowens@gmail.com,03069990412,77,92,True,
Michelle Evans,michelleevans@hotmail.com,(0306)9990303,71,72,True,
Amanda Wood,amandawood@yahoo.com,+44(0)118 496 0964,92,96,True,
Joe Matthews,joematthews@hotmail.com,(0808) 1570869,94,87,True,
Charlene Davies,charlenedavies@hotmail.com,0909 879 0066,71,98,True,
Lindsey Griffin,lindseygriffin@hotmail.com,0116 496 0261,95,82,True,
Laura Wright,laurawright@yahoo.com,+44141 4960795,66,66,False,Low attendance
Naomi Holmes,naomiholmes@gmail.com,(020)74960447,69,71,True,
Christine Miller,christinemiller@gmail.com,+44(0)1632 960 149,98,80,True,
Justin Kelly,justinkelly@hotmail.com,+44(0)289018521,84,91,True,
Nicole Ball,nicoleball@hotmail.com,+44(0)113 496 0747,63,98,True,
Charlotte Cartwright,charlottecartwright@gmail.com,0161 496 0402,72,76,True,
Emma Burgess,emmaburgess@gmail.com,03069990911,97,80,True,
Danielle Jones,daniellejones@hotmail.com,+441914960282,91,66,False,Low attendance
Dawn Reed,dawnreed@yahoo.com,01614960444,88,66,False,Low attendance
Brandon Collins,brandoncollins@hotmail.com,(0131) 496 0887,68,88,True,
Vincent Harrison,vincentharrison@yahoo.com,02074960536,53,68,False,Low score and Low attendance
Chelsea Williams,chelseawilliams@hotmail.com,+44131 496 0383,79,77,True,
Jeffrey Cooper,jeffreycooper@hotmail.com,+44117 496 0203,71,78,True,
Luke Jones,lukejones@gmail.com,(0115) 496 0140,97,68,False,Low attendance
Sophie Jones,sophiejones@gmail.com,+44(0)1632 960298,85,92,True,
Norman Hayes,normanhayes@yahoo.com,(0909) 879 0497,75,66,False,Low attendance
Barbara Williams,barbarawilliams@hotmail.com,(0808) 157 0322,52,81,False,Low score
Barry Jones,barryjones@yahoo.com,(020) 7496 0248,89,77,True,
Norman Savage,normansavage@hotmail.com,+44(0)9098790706,94,73,True,
Christian Brown,christianbrown@gmail.com,+44(0)131 496 0259,98,68,False,Low attendance
Sophie Wilson,sophiewilson@gmail.com,+44116 4960493,62,73,True,
Christine Knowles,christineknowles@yahoo.com,(028) 9018 0193,82,90,True,
Eric James,ericjames@hotmail.com,0808 157 0611,83,78,True,
Gemma Hewitt,gemmahewitt@gmail.com,(0808) 157 0020,76,86,True,
Irene Quinn,irenequinn@gmail.com,(0909)8790901,50,79,False,Low score
Stephen Moore,stephenmoore@yahoo.com,(0151) 4960147,70,85,True,
John Rose,johnrose@gmail.com,0131 4960306,98,78,True,
Kevin Rogers,kevinrogers@hotmail.com,0116 496 0634,64,78,True,
Annette Evans,annetteevans@hotmail.com,(0808)1570235,99,70,True,
Leslie Harvey,leslieharvey@hotmail.com,+44(0)28 9018 0313,65,94,True,
Kevin Humphreys,kevinhumphreys@gmail.com,+44(0)1154960411,53,94,False,Low score
Barry Shaw,barryshaw@hotmail.com,+44(0)306 999 0514,59,92,False,Low score
Denis Cooper,deniscooper@hotmail.com,0114 496 0497,83,78,True,
Stanley Harding,stanleyharding@gmail.com,(0191) 4960166,68,100,True,
Ross Hartley,rosshartley@hotmail.com,(0808) 1570768,92,82,True,
Ben Osborne,benosborne@gmail.com,(0808) 1570167,73,74,True,
Sean Ashton,seanashton@yahoo.com,0113 4960299,86,85,True,
Pauline Osborne,paulineosborne@yahoo.com,(0808)1570405,80,78,True,
Mathew Lewis,mathewlewis@hotmail.com,+441314960193,60,76,True,
Patricia Harris,patriciaharris@yahoo.com,(0131)4960920,72,82,True,
Robert Harrison,robertharrison@gmail.com,0306 999 0874,61,77,True,
Colin Macdonald,colinmacdonald@yahoo.com,(0306) 9990210,92,81,True,
Lorraine Clarke,lorraineclarke@yahoo.com,(0909) 8790946,86,87,True,
Alex Dodd,alexdodd@yahoo.com,+44(0)20 7496 0998,69,93,True,
Rachel Chapman,rachelchapman@yahoo.com,+44(0)117 496 0095,79,68,False,Low attendance
Katy Cole,katycole@yahoo.com,0161 496 0447,82,65,False,Low attendance
Gail Matthews,gailmatthews@gmail.com,029 2018 0748,81,97,True,
Chelsea Murray,chelseamurray@hotmail.com,01632 960 688,71,69,False,Low attendance
Kathryn Morris,kathrynmorris@yahoo.com,(0151) 496 0397,85,87,True,
Hannah Blackburn,hannahblackburn@yahoo.com,(0114) 496 0231,71,94,True,
Kerry Hall,kerryhall@gmail.com,0114 496 0953,96,98,True,
Elizabeth Jennings,elizabethjennings@hotmail.com,01214960930,67,100,True,
Josh Mills,joshmills@yahoo.com,+44(0)1164960833,76,76,True,
Jeremy Gardiner,jeremygardiner@hotmail.com,(0116) 496 0013,55,83,False,Low score
Terry Ahmed,terryahmed@yahoo.com,(0116) 496 0564,100,88,True,
Barbara Andrews,barbaraandrews@hotmail.com,+441614960482,83,94,True,
Lydia Smith,lydiasmith@yahoo.com,01632 960530,96,91,True,
John Dixon,johndixon@yahoo.com,+44115 4960952,71,81,True,
Simon Burns,simonburns@gmail.com,+44(0)113 496 0921,94,96,True,
Teresa Miller,teresamiller@gmail.com,+44161 496 0360,51,74,False,Low score
George Moore,georgemoore@gmail.com,(0306) 9990879,59,100,False,Low score
Nathan Barrett,nathanbarrett@gmail.com,+44808 1570916,100,91,True,
Carly Thomson,carlythomson@yahoo.com,0141 496 0398,90,95,True,
Grace Ahmed,graceahmed@yahoo.com,+4420 7496 0588,88,75,True,
Donald Miller,donaldmiller@hotmail.com,01914960938,62,82,True,
Katie Moore,katiemoore@hotmail.com,0151 496 0704,56,91,False,Low score
Jonathan Doyle,jonathandoyle@hotmail.com,+44(0)121 496 0778,93,91,True,
Jeffrey Cooper,jeffreycooper@yahoo.com,+441414960550,78,79,True,
Ellie Mason,elliemason@yahoo.com,+44117 496 0579,68,89,True,
Wayne Hughes,waynehughes@yahoo.com,+44118 4960204,56,85,False,Low score
Dominic Hall,dominichall@hotmail.com,+44141 496 0497,78,69,False,Low attendance
Victor Sharp,victorsharp@gmail.com,01164960040,73,81,True,
Rachael Armstrong,rachaelarmstrong@yahoo.com,+44(0)1174960005,88,86,True,
Stewart Whitehead,stewartwhitehead@yahoo.com,(0117) 4960706,60,68,False,Low attendance
Catherine White,catherinewhite@yahoo.com,01214960603,96,65,False,Low attendance
Georgina Jones,georginajones@yahoo.com,+44151 4960426,98,100,True,
Brian Hopkins,brianhopkins@gmail.com,+44(0)141 496 0751,89,77,True,
Cameron Wilkinson,cameronwilkinson@hotmail.com,+44306 9990310,53,66,False,Low score and Low attendance
Martyn Edwards,martynedwards@gmail.com,(0118) 496 0232,85,97,True,
Claire Edwards,claireedwards@gmail.com,(0141)4960001,70,89,True,
Lawrence Tucker,lawrencetucker@yahoo.com,(0151) 496 0004,54,95,False,Low score
Sarah Lewis,sarahlewis@gmail.com,+44(0)114 496 0523,70,80,True,
Zoe Randall,zoerandall@hotmail.com,+44(0)118 4960641,89,99,True,
Charlene Evans,charleneevans@gmail.com,+44(0)118 496 0903,86,74,True,
Douglas Fletcher,douglasfletcher@gmail.com,+441514960643,91,69,False,Low attendance
Glen Foster,glenfoster@hotmail.com,+44(0)118 4960337,99,84,True,
Grace Hill,gracehill@yahoo.com,+4420 7496 0351,84,97,True,
Max Pritchard,maxpritchard@hotmail.com,+44(0)1154960350,88,85,True,
Katie Hale,katiehale@hotmail.com,(0808) 1570770,66,82,True,
Melissa Finch,melissafinch@gmail.com,+44(0)1144960730,87,84,True,
Tina Griffiths,tinagriffiths@gmail.com,+441632 960744,79,98,True,
Sally Hewitt,sallyhewitt@yahoo.com,+441632 960250,61,100,True,
Carolyn Gray,carolyngray@gmail.com,+44(0)1144960703,70,93,True,
