name,email,phone,score,attendance,passed,dropped_reason
Arthur Edwards,arthuredwards@gmail.com,+4420 7496 0318,100,97,True,
Lisa Cartwright,lisacartwright@gmail.com,+44113 496 0734,80,87,True,
Jordan Parkin,jordanparkin@hotmail.com,+44(0)131 4960849,81,83,True,
Thomas Green,thomasgreen@gmail.com,+44191 496 0396,50,97,False,Low score
Lynda Watson,lyndawatson@yahoo.com,(029)2018136,80,65,False,Low attendance
Richard French,richardfrench@hotmail.com,+44(0)1632 960998,96,77,True,
Andrew Smith,andrewsmith@hotmail.com,0306 9990051,91,70,True,
Mitchell Hall,mitchellhall@yahoo.com,+44113 496 0903,60,95,True,
Katie Fisher,katiefisher@hotmail.com,+44(0)141 4960436,77,69,False,Low attendance
Robert Wright,robertwright@yahoo.com,(01632)960329,60,66,False,Low attendance
Dale Byrne,dalebyrne@hotmail.com,(0117) 4960825,67,97,True,
Owen Smith,owensmith@gmail.com,(0141)4960591,68,66,False,Low attendance
Melanie Williams,melaniewilliams@gmail.com,+44121 4960712,61,91,True,
Edward Carroll,edwardcarroll@gmail.com,+441614960424,96,76,True,
Rebecca Knight,rebeccaknight@yahoo.com,(0306)9990173,97,71,True,
Alexandra Bond,alexandrabondz@hotmail.com,+44(0)117 496 0540,98,92,True,
Wayne Harrison,wayneharrison@gmail.com,+44(0)28 9018298,64,75,True,
Mohammad Lewis,mohammadlewis@yahoo.com,+44118 4960759,59,84,False,Low score
Roger Lane,rogerlane@yahoo.com,02074960696,73,77,True,
Jonathan Bray,jonathanbray@hotmail.com,01632 960 992,54,92,False,Low score
Louis Watson,louiswatson@hotmail.com,+44808 1570111,95,74,True,
Marilyn Hewitt,marilynhewitt@gmail.com,(0141) 4960958,87,97,True,
Ian Martin,ianmartin@hotmail.com,(0115) 496 0658,100,94,True,
Yvonne Newton,yvonnenewton@hotmail.com,+441144960353,80,87,True,
Sheila Hicks,sheilahicks@hotmail.com,(0118) 4960842,89,74,True,
Clare Patel,clarepatel@gmail.com,+441632 960943,68,69,False,Low attendance
Kyle Pugh,kylepugh@gmail.com,0141 4960977,98,91,True,
Aimee Goodwin,aimeegoodwin@yahoo.com,0131 496 0776,66,83,True,
Joe Smith,joesmith@gmail.com,(0113) 4960818,69,86,True,
Lisa Vaughan,lisavaughan@gmail.com,+44121 496 0268,63,80,True,
Sophie Griffiths,sophiegriffiths@yahoo.com,01614960970,57,83,False,Low score
Lynn Owen,lynnowen@hotmail.com,01154960516,94,73,True,
Nigel Stevenson,nigelstevenson@hotmail.com,+44(0)808 1570855,92,79,True,
Mark Hammond,markhammond@yahoo.com,(0116) 496 0692,74,94,True,
Elliot Jordan,elliotjordan@gmail.com,(0114) 496 0723,77,90,True,
Mary Summers,marysummers@yahoo.com,01632 960 471,99,86,True,
Eric Clayton,ericclayton@yahoo.com,(0151) 4960238,84,86,True,
Shaun Edwards,shaunedwards@hotmail.com,01174960093,70,99,True,
Ashleigh Taylor,ashleightaylor@hotmail.com,+44151 4960009,70,93,True,
Kyle Hill,kylehill@hotmail.com,+44292018387,72,83,True,
Tina Butler,tinabutler@yahoo.com,(0116) 496 0532,60,73,True,
Kevin Mahmood,kevinmahmood@yahoo.com,+443069990763,88,87,True,
Aaron Bradshaw,aaronbradshaw@hotmail.com,+44121 4960305,83,97,True,
Martin Hart,martinhart@yahoo.com,+44(0)114 4960479,76,89,True,
Christine Jones,christinejones@hotmail.com,+441614960377,63,95,True,
David Lane,davidlane@yahoo.com,(0191)4960938,88,65,False,Low attendance
Sandra May,sandramay@gmail.com,+44(0)121 496 0900,55,70,False,Low score
