name,email,phone,score,attendance,passed,dropped_reason
Dale Thomas,dalethomas@gmail.com,+4420 74960949,61,83,True,
Claire Bates,clairebates@gmail.com,(0121) 496 0640,98,65,False,Low attendance
Albert Mann,albertmann@gmail.com,+44113 4960303,78,76,True,
Callum Jones,callumjones@hotmail.com,(0909) 8790807,57,70,False,Low score
Danny Roberts,dannyroberts@yahoo.com,(0113) 4960086,72,67,False,Low attendance
Christian Rowe,christianrowe@gmail.com,+4429 2018 0775,92,100,True,
Adam Douglas,adamdouglas@yahoo.com,(0131) 4960714,82,69,False,Low attendance
Nigel Miah,nigelmiah@hotmail.com,+44(0)117 4960722,100,100,True,
Rachael Collins,rachaelcollins@hotmail.com,+441134960670,54,68,False,Low score and Low attendance
Marion Skinner,marionskinner@hotmail.com,+44(0)1632 960194,65,97,True,
Hannah Gray,hannahgray@gmail.com,+44(0)1632960953,82,73,True,
Francesca Bennett,francescabennett@gmail.com,0131 496 0604,84,99,True,
Yvonne Russell,yvonnerussell@gmail.com,(0191) 4960353,79,78,True,
Hollie Conway,hollieconway@yahoo.com,(029)2018050,82,84,True,
Emma Jenkins,emmajenkins@yahoo.com,+44114 4960289,79,74,True,
Abdul Cooper,abdulcooper@yahoo.com,+44(0)1632 960 496,60,88,True,
Hayley Burns,hayleyburns@yahoo.com,+44115 4960632,53,83,False,Low score
Kirsty Lee,kirstylee@yahoo.com,+44(0)909 8790470,60,65,False,Low attendance
Lynne Davies,lynnedavies@hotmail.com,(0161) 496 0988,78,100,True,
Glenn Bailey,glennbailey@hotmail.com,+44(0)1632 960 395,55,81,False,Low score
Lewis Brown,lewisbrown@yahoo.com,(028)9018406,52,85,False,Low score
Susan Howe,susanhowe@gmail.com,(0306) 999 0551,56,75,False,Low score
Jake Perkins,jakeperkins@gmail.com,(0115)4960408,81,90,True,
Graeme Clarke,graemeclarke@yahoo.com,(020)74960348,74,87,True,
Clive Kaur,clivekaur@gmail.com,(0114)4960140,89,100,True,
Damian Taylor,damiantaylor@gmail.com,+4429 2018 0561,54,89,False,Low score
Natasha Barrett,natashabarrett@gmail.com,(01632) 960 995,80,83,True,
Vanessa Dunn,vanessadunn@hotmail.com,0909 879 0269,92,96,True,
Patricia Reid,patriciareid@yahoo.com,01214960939,86,79,True,
Peter Swift,peterswift@hotmail.com,0292018099,87,85,True,
Shannon Thompson,shannonthompson@gmail.com,+441184960413,94,72,True,
Frank Brown,frankbrown@gmail.com,+44(0)20 7496 0294,51,67,False,Low score and Low attendance
Jason Chamberlain,jasonchamberlain@yahoo.com,+44191 4960274,62,96,True,
Martyn Robinson,martynrobinson@gmail.com,+44(0)909 879 0635,90,76,True,
Simon Bruce,simonbruce@yahoo.com,+44292018230,73,90,True,
Craig Williams,craigwilliams@yahoo.com,+441314960556,53,82,False,Low score
Josephine Wilson,josephinewilson@hotmail.com,(0161) 4960223,84,81,True,
Lesley Smith,lesleysmith@gmail.com,029 2018421,100,76,True,
Hollie Shaw,hollieshaw@gmail.com,0306 9990910,79,82,True,
Glen Davies,glendavies@yahoo.com,+44(0)306 9990275,69,91,True,
Rhys Norman,rhysnorman@hotmail.com,+44(0)1632960974,50,80,False,Low score
Roy Davies,roydavies@gmail.com,+44(0)20 74960410,71,72,True,
Martin Stephens,martinstephens@hotmail.com,0121 4960189,70,85,True,
Jack Wells,jackwells@hotmail.com,(0161) 4960576,100,87,True,
Gemma Parker,gemmaparker@yahoo.com,+44(0)117 496 0686,53,73,False,Low score
Howard Hammond,howardhammond@gmail.com,01214960664,94,76,True,
Karen Anderson,karenanderson@hotmail.com,+44(0)9098790173,85,81,True,
Barbara Hill,barbarahill@hotmail.com,+44161 4960622,54,88,False,Low score
Nicola Hewitt,nicolahewitt@hotmail.com,(0114) 4960349,84,75,True,
Michelle Norton,michellenorton@yahoo.com,+443069990970,72,70,True,
Jodie Nolan,jodienolan@yahoo.com,+44151 4960740,94,100,True,
Joshua Edwards,joshuaedwards@gmail.com,0116 4960076,86,100,True,
Allan Berry,allanberry@yahoo.com,(0118) 4960981,64,83,True,
Diane Murray,dianemurray@yahoo.com,+44131 496 0324,74,87,True,
Lewis Holden,lewisholden@hotmail.com,01514960556,84,84,True,
Lynda Evans,lyndaevans@gmail.com,+44(0)2074960661,77,67,False,Low attendance
Lisa Scott,lisascott@hotmail.com,(028) 9018868,83,66,False,Low attendance
Lynda Stanley,lyndastanley@yahoo.com,(0114) 496 0491,79,84,True,
Stewart McDonald,stewartmcdonald@gmail.com,(0115)4960637,99,77,True,
Alan Berry,alanberry@yahoo.com,+4429 2018 0219,81,99,True,
Henry Garner,henrygarner@hotmail.com,+44(0)116 4960425,87,83,True,
Joyce Carter,joycecarter@hotmail.com,+441174960383,67,79,True,
Darren Khan,darrenkhan@hotmail.com,(01632) 960 040,59,73,False,Low score
Eileen Harper,eileenharper@gmail.com,01632960602,77,71,True,
Ricky Whitehouse,rickywhitehouse@yahoo.com,+44113 4960704,59,70,False,Low score
Hazel Bennett,hazelbennett@hotmail.com,0292018345,83,90,True,
Emily Harris,emilyharris@hotmail.com,(0114) 496 0855,66,95,True,
Judith Fraser,judithfraser@yahoo.com,+44117 496 0155,57,90,False,Low score
Amy Murphy,amymurphy@yahoo.com,+44191 496 0951,75,89,True,
Damien Smith,damiensmith@gmail.com,0808 1570191,51,86,False,Low score
Julian Turner,julianturner@yahoo.com,(0115)4960757,78,80,True,
Hugh Taylor,hughtaylor@hotmail.com,+44(0)306 999 0032,83,71,True,
Mitchell Thornton,mitchellthornton@yahoo.com,+441144960179,77,92,True,
Joan Bell,joanbellS@hotmail.com,+44(0)141 4960547,90,85,True,
Kevin Francis,kevinfrancis@yahoo.com,+44(0)1144960373,56,66,False,Low score and Low attendance
Kevin Alexander,kevinalexander@hotmail.com,(0909)8790407,75,90,True,
Roger Griffiths,rogergriffiths@yahoo.com,+44115 4960278,73,94,True,
Bradley Kaur,bradleykaur@hotmail.com,+441614960796,91,70,True,
Barbara Atkinson,barbaraatkinson@hotmail.com,+44808 157 0317,92,76,True,
Raymond Chamberlain,raymondchamberlain@yahoo.com,(0306) 9990676,72,86,True,
Jennifer Butler,jenniferbutler@gmail.com,0161 496 0834,63,90,True,
Gregory Mills,gregorymills@hotmail.com,0909 879 0678,56,88,False,Low score
Kathleen Hicks,kathleenhicks@hotmail.com,(0116) 496 0797,66,67,False,Low attendance
Tina Cunningham,tinacunningham@yahoo.com,(0116) 4960873,78,84,True,
David Barton,davidbarton@hotmail.com,0909 879 0475,74,72,True,
Jean Dodd,jeandodd@hotmail.com,+44(0)131 4960068,67,84,True,
Alice Bates,alicebates@yahoo.com,+44(0)20 74960042,86,66,False,Low attendance
Deborah Patel,deborahpatel@yahoo.com,+44131 496 0111,59,78,False,Low score
Cameron Morgan,cameronmorgan@yahoo.com,0289018167,83,98,True,
Sylvia Hart,sylviahart@yahoo.com,(0118)4960562,86,92,True,
Frances Peacock,francespeacock@yahoo.com,+44(0)121 4960391,76,71,True,
Ellie Thorpe,elliethorpe@hotmail.com,(0306) 999 0443,83,66,False,Low attendance
Tracey Ellis,traceyellis@hotmail.com,0113 4960924,81,86,True,
Abdul Allan,abdulallan@gmail.com,01164960139,93,88,True,
Dawn Ellis,dawnellis@gmail.com,(0113) 4960584,50,100,False,Low score
Joseph Bray,josephbray@gmail.com,(0117) 496 0884,91,93,True,
Amy Conway,amyconway@gmail.com,+44(0)131 4960387,60,68,False,Low attendance
Lucy Arnold,lucyarnold@yahoo.com,+44(0)115 496 0000,82,88,True,
Judith Doyle,judithdoyle@hotmail.com,(0151)4960749,55,85,False,Low score
Gary Gardner,garygardner@hotmail.com,+44(0)1632960352,74,71,True,
Toby Greenwood,tobygreenwood@yahoo.com,+44114 496 0942,62,92,True,
Glenn Anderson,glennanderson@gmail.com,+442074960873,72,100,True,
Harry Scott,harryscott@yahoo.com,(0117) 496 0262,73,95,True,
Timothy Booth,timothybooth@gmail.com,0131 496 0749,100,95,True,
Adrian Foster,adrianfoster@yahoo.com,+44117 4960988,90,77,True,
Naomi Moore,naomimoore@hotmail.com,01144960280,63,69,False,Low attendance
John Banks,johnbanks@yahoo.com,+44(0)1174960422,79,89,True,
Allan Yates,allanyates@gmail.com,+44(0)28 9018 0464,71,76,True,
Scott Robinson,scottrobinson@hotmail.com,+441632 960 514,93,90,True,
Louis Ball,louisball@gmail.com,+44(0)9098790446,82,87,True,
Sara Stevens,sarastevens@yahoo.com,(0306)9990619,74,87,True,
Ashley Ahmed,ashleyahmed@gmail.com,028 9018835,78,97,True,
Gillian Taylor,gilliantaylor@gmail.com,+44(0)1154960182,59,78,False,Low score
Maureen Jones,maureenjones@hotmail.com,(0191) 496 0966,95,94,True,
Owen Hall,owenhall@hotmail.com,(0117)4960477,94,97,True,
Olivia Richards,oliviarichards@gmail.com,(0306)9990624,75,91,True,
Alison Saunders,alisonsaunders@hotmail.com,+44(0)28 9018917,79,90,True,
Brandon Adams,brandonadams@yahoo.com,+44(0)2074960295,73,72,True,
Lauren Thompson,laurenthompsonR@hotmail.com,+44(0)161 496 0736,55,91,False,Low score
