name,email,phone,score,attendance,passed,dropped_reason
Denise Roberts,deniseroberts@hotmail.com,+44(0)3069990543,65,89,True,
Rhys Hutchinson,rhyshutchinsonZ@gmail.com,(020)74960286,99,79,True,
Lawrence Clark,lawrenceclark@hotmail.com,0115 496 0858,50,69,False,Low score and Low attendance
Helen Jones,helenjoneso@gmail.com,+44(0)1632960765,89,99,True,
Andrew Parkin,andrewparkin@yahoo.com,0191 498 0891,76,80,True,
Caroline Rowe,carolinerowe@yahoo.com,(0118) 496 0385,71,75,True,
Paul Williams,paulwilliams@gmail.com,+44(0)1154960047,65,65,False,Low attendance
Irene Townsend,irenetownsend@hotmail.com,0121 4960639,88,76,True,
Ross Robertson,rossrobertson@hotmail.com,+441632 960 917,77,100,True,
Thomas Dickinson,thomasdickinson@yahoo.com,01414960841,60,72,True,
Catherine Bell,catherinebell@yahoo.com,01514960110,51,78,False,Low score
Daniel Vincent,danielvincent@yahoo.com,+44(0)191 496 0518,67,90,True,
Marie Morrison,mariemorrison@hotmail.com,0131 496 0383,99,76,True,
Jodie Murray,jodiemurray@hotmail.com,+44(0)1632 960592,68,97,True,
Benjamin Shaw,benjaminshaw@gmail.com,0808 1570495,74,80,True,
Karl Cooper,karlcooper@hotmail.com,(0151) 496 0945,88,82,True,
Beth Brown,bethbrown@gmail.com,+44131 4960451,61,88,True,
Zoe Page,zoepage@gmail.com,(0118) 496 0555,94,88,True,
Terry Ellis,terryellis@yahoo.com,+44(0)151 4960634,87,76,True,
Mandy Field,mandyfield@yahoo.com,0113 4960214,77,74,True,
Abbie West,abbiewest@gmail.com,0151 496 0790,96,91,True,
Sharon Gray,sharongray@yahoo.com,+44161 4960709,96,85,True,
Ruth Anderson,ruthanderson@yahoo.com,0113 4960172,84,70,True,
Irene Stone,irenestone@hotmail.com,+44(0)116 496 0537,100,67,False,Low attendance
Martin Davies,martindaviesB@hotmail.com,+44(0)113 4960253,77,91,True,
Ricky Smith,rickysmith@yahoo.com,+44115 496 0248,56,67,False,Low score and Low attendance
Helen Berry,helenberry@hotmail.com,+441164960805,68,92,True,
Katy Jones,katyjones@yahoo.com,01632960687,99,74,True,
Gerald Reynolds,geraldreynolds@hotmail.com,(0121) 496 0705,76,98,True,
Tracy Thomson,tracythomson@yahoo.com,(0191) 4960773,78,94,True,
Nicole Wood,nicolewood@yahoo.com,0292018669,60,71,True,
Anna Hughes,annahughes@yahoo.com,+44191 4960895,51,92,False,Low score
Hollie Lloyd,hollielloyd@yahoo.com,+44(0)115 496 0441,91,93,True,
Bryan Green,bryangreen@hotmail.com,+44(0)20 74960125,96,96,True,
Leanne Morley,leannemorley@hotmail.com,(0151)4960366,98,66,False,Low attendance
Cheryl Chapman,cherylchapman@gmail.com,(0141) 496 0003,92,99,True,
Marcus Hussain,marcushussain@hotmail.com,+44116 496 0982,84,85,True,
Howard Leach,howardleach@hotmail.com,+441314960141,97,67,False,Low attendance
Marilyn Parsons,marilynparsons@yahoo.com,(0116) 4960357,52,71,False,Low score
Barbara Thomson,barbarathomson@gmail.com,0115 4960330,84,71,True,
Brett Smith,brettsmith@yahoo.com,(0121) 4960886,89,81,True,
Adam Walker,adamwalker@yahoo.com,(028)9018579,69,99,True,
Graham Stevenson,grahamstevenson@gmail.com,(0808) 157 0859,87,95,True,
Frederick Cooper,frederickcooper@gmail.com,+441314960409,86,97,True,
Josephine Barnes,josephinebarnes@yahoo.com,(0116) 496 0188,57,94,False,Low score
Margaret Pearce,margaretpearce@hotmail.com,(0115) 4960210,60,99,True,
Charles Slater,charlesslater@gmail.com,020 7946 0849,65,77,True,
Sean Coleman,seancoleman@gmail.com,+441632 960 493,83,93,True,
Damien Wilkinson,damienwilkinson@hotmail.com,+44(0)1214960496,51,89,False,Low score
Cheryl Stokes,cherylstokes@gmail.com,+441614960356,59,78,False,Low score
Paula Bradley,paulabradley@hotmail.com,(020)74960120,63,66,False,Low attendance
Lynn Booth,lynnbooth@yahoo.com,020 74960641,55,77,False,Low score
Douglas Williams,douglaswilliams@gmail.com,+441174960671,95,72,True,
Alan Evans,alanevans@hotmail.com,01514960238,67,77,True,
Jade Fox,jadefox@hotmail.com,+44(0)29 2018 0588,52,90,False,Low score
Jane Lee,janelee@gmail.com,+4429 2018 0566,70,78,True,
Sally Lewis,sallylewis@hotmail.com,+44(0)161 496 0103,59,91,False,Low score
Leah Rhodes,leahrhodes@gmail.com,+441174960673,71,89,True,
Vincent Hill,vincenthill@gmail.com,+44(0)306 999 0880,94,72,True,
Sheila Mason,sheilamason@hotmail.com,029 2018 0939,100,89,True,
Graeme Heath,graemeheath@gmail.com,+449098790479,50,70,False,Low score
Rachel Bray,rachelbray@hotmail.com,+44113 4960185,95,68,False,Low attendance
George Greenwood,georgegreenwood@yahoo.com,0114 496 0834,65,90,True,
Steven Iqbal,steveniqbal@gmail.com,+443069990511,79,92,True,
Jayne Dixon,jaynedixon@gmail.com,01314960374,73,88,True,
