name,email,phone,score,attendance,passed,dropped_reason
Joan Jenkins,joanjenkins@yahoo.com,0115 496 0699,96,75,True,
Emma Carter,emmacarter@yahoo.com,+44(0)1614960061,76,80,True,
Natalie Moore,nataliemoore@gmail.com,+442074960539,72,65,False,Low attendance
Alison Clarke,alisonclarke@hotmail.com,+44(0)20 7496 0278,55,98,False,Low score
Gerard Ward,gerardward@yahoo.com,+44141 4960627,73,66,False,Low attendance
Eleanor Morley,eleanormorley@hotmail.com,(020) 7496 0887,87,84,True,
Leon Barker,leonbarker@hotmail.com,(0141) 4960227,99,88,True,
Bernard Thomson,bernardthomson@hotmail.com,(0306)9990603,60,82,True,
Maureen Davies,maureendavies@yahoo.com,0116 496 0976,54,98,False,Low score
Maria Williamson,mariawilliamson@yahoo.com,(0121) 4960323,54,98,False,Low score
Vincent Kay,vincentkay@hotmail.com,+44(0)115 4960109,97,67,False,Low attendance
Glenn Begum,glennbegum@yahoo.com,+44289018499,96,83,True,
Sam Booth,sambooth@yahoo.com,0191 4960151,54,72,False,Low score
Eric Chambers,ericchambers@gmail.com,0131 4960723,58,92,False,Low score
Jenna Hicks,jennahicks@hotmail.com,0121 496 0871,53,75,False,Low score
Patrick Parker,patrickparker@hotmail.com,+44151 4960500,65,93,True,
Richard Ryan,richardryan@hotmail.com,(0114) 496 0033,55,96,False,Low score
Brandon Watson,brandonwatson@hotmail.com,(0116)4960225,67,88,True,
Lawrence Shepherd,lawrenceshepherd@gmail.com,(0151)4960079,87,82,True,
Heather Bartlett,heatherbartlett@hotmail.com,01914960651,81,67,False,Low attendance
Tina Donnelly,tinadonnelly@hotmail.com,(0113) 496 0743,93,67,False,Low attendance
Sean Collins,seancollins@yahoo.com,0121 4960342,77,66,False,Low attendance
Josh Rowe,joshrowe@yahoo.com,+44161 4960032,56,82,False,Low score
Victoria Williams,victoriawilliams@hotmail.com,+44306 9990224,72,85,True,
Annette Bennett,annettebennett@yahoo.com,+441134960450,98,66,False,Low attendance
Melanie Lewis,melanielewis@gmail.com,+44(0)909 879 0070,81,74,True,
Rhys Sharp,rhyssharp@yahoo.com,+44114 496 0443,77,88,True,
Paul Weston,paulweston@yahoo.com,(028)9018931,81,66,False,Low attendance
Vanessa Cooper,vanessacooper@yahoo.com,(0909) 879 0180,99,73,True,
Gordon Francis,gordonfrancis@hotmail.com,+44(0)141 496 0915,59,82,False,Low score
Terry Joyce,terryjoyce@gmail.com,+44(0)808 1570827,63,92,True,
Pamela Wilson,pamelawilson@yahoo.com,+44(0)1914960763,99,71,True,
Clare Hunt,clarehunt@yahoo.com,0191 498 0206,62,67,False,Low attendance
Caroline Stevens,carolinestevens@hotmail.com,+44(0)115 496 0850,73,74,True,
Alison Taylor,alisontaylor@yahoo.com,0116 4960557,93,100,True,
Andrea Butcher,andreabutcher@gmail.com,(0306)9990658,55,92,False,Low score
Harry Thompson,harrythompson@gmail.com,+44(0)118 496 0244,75,88,True,
Kim Harper,kimharper@gmail.com,(0131) 496 0675,81,89,True,
Vincent Brown,vincentbrown@yahoo.com,+44306 9990141,98,69,False,Low attendance
Janice Short,janiceshort@yahoo.com,+44(0)808 1570333,62,95,True,
Frederick Lees,fredericklees@gmail.com,(0131) 496 0175,84,73,True,
Samantha Mills,samanthamills@hotmail.com,(0131) 4960137,56,96,False,Low score
Michael Ford,michaelford@hotmail.com,+44(0)1134960833,78,74,True,
Ruth Clark,ruthclark@yahoo.com,+44116 4960422,100,91,True,
Shirley Williams,shirleywilliams@hotmail.com,0141 496 0744,55,75,False,Low score
Claire Burns,claireburns@yahoo.com,028 9018 0016,50,99,False,Low score
Nicholas Harvey,nicholasharvey@gmail.com,+4429 2018 0921,80,81,True,
Leslie Holland,leslieholland@gmail.com,(0121)4960202,96,89,True,
