name,email,phone,score,attendance,passed,dropped_reason
Zoe Hopkins,zoehopkins@hotmail.com,0114 4960359,53,77,False,Low score
Eileen Howell,eileenhowell@gmail.com,0141 4960990,53,73,False,Low score
Dale Thomas,dalethomas@gmail.com,+4420 74960949,99,100,True,
Claire Bates,clairebates@gmail.com,(0121) 496 0640,86,74,True,
Tracey Young,traceyyoung@hotmail.com,+44(0)292018267,56,97,False,Low score
Albert Mann,albertmann@gmail.com,+44113 4960303,85,86,True,
Callum Jones,callumjones@hotmail.com,(0909) 8790807,100,87,True,
Danny Roberts,dannyroberts@yahoo.com,(0113) 4960086,83,83,True,
Colin Carter,colincarter@yahoo.com,+44117 4960816,90,69,False,Low attendance
Christian Rowe,christianrowe@gmail.com,+4429 2018 0775,81,92,True,
Adam Douglas,adamdouglas@yahoo.com,(0131) 4960714,94,80,True,
Nigel Miah,nigelmiah@hotmail.com,+44(0)117 4960722,63,84,True,
Donna Price,donnaprice@hotmail.com,0131 496 0435,51,82,False,Low score
Rachael Collins,rachaelcollins@hotmail.com,+441134960670,77,100,True,
Marion Skinner,marionskinner@hotmail.com,+44(0)1632 960194,85,82,True,
Hannah Gray,hannahgray@gmail.com,+44(0)1632960953,63,76,True,
Margaret Davies,margaretdavies@hotmail.com,+44(0)20 7496 0063,82,69,False,Low attendance
Francesca Bennett,francescabennett@gmail.com,0131 496 0604,78,84,True,
Allan Jones,allanjones@yahoo.com,(0121) 4960448,67,68,False,Low attendance
Luke Smith,lukesmith@hotmail.com,(029)2018665,59,74,False,Low score
Bryan Duffy,bryanduffy@gmail.com,+44(0)1514960019,59,77,False,Low score
Yvonne Russell,yvonnerussell@gmail.com,(0191) 4960353,73,76,True,
Barry Baker,barrybaker@gmail.com,(0191) 4960929,82,67,False,Low attendance
Hollie Conway,hollieconway@yahoo.com,(029)2018050,92,81,True,
Gary Graham,garygraham@gmail.com,(0151) 4960700,80,67,False,Low attendance
Emma Jenkins,emmajenkins@yahoo.com,+44114 4960289,69,71,True,
Abdul Cooper,abdulcooper@yahoo.com,+44(0)1632 960 496,64,92,True,
Hayley Burns,hayleyburns@yahoo.com,+44115 4960632,83,86,True,
Hugh Clarke,hughclarke@yahoo.com,01144960200,100,65,False,Low attendance
Kirsty Lee,kirstylee@yahoo.com,+44(0)909 8790470,78,92,True,
Lynne Davies,lynnedavies@hotmail.com,(0161) 496 0988,75,87,True,
Glenn Bailey,glennbailey@hotmail.com,+44(0)1632 960 395,84,71,True,
Liam Hicks,liamhicks@hotmail.com,0117 4960239,55,96,False,Low score
Lewis Brown,lewisbrown@yahoo.com,(028)9018406,96,90,True,
Susan Howe,susanhowe@gmail.com,(0306) 999 0551,67,72,True,
Jake Perkins,jakeperkins@gmail.com,(0115)4960408,89,97,True,
Graeme Clarke,graemeclarke@yahoo.com,(020)74960348,63,99,True,
Clive Kaur,clivekaur@gmail.com,(0114)4960140,61,83,True,
Georgina Green,georginagreen@yahoo.com,+44161 496 0487,59,89,False,Low score
Glenn Townsend,glenntownsend@yahoo.com,01134960038,65,65,False,Low attendance
Damian Taylor,damiantaylor@gmail.com,+4429 2018 0561,79,74,True,
Natasha Barrett,natashabarrett@gmail.com,(01632) 960 995,85,100,True,
