name,email,phone,score,attendance,passed,dropped_reason
Jayne Brown,jaynebrown@gmail.com,(0114) 4960032,63,72,True,
Tracey Abbott,traceyabbott@gmail.com,(0191) 496 0629,100,97,True,
Aimee Scott,aimeescott@yahoo.com,0306 999 0388,69,95,True,
Dean Warren,deanwarren@gmail.com,(0115) 4960179,91,82,True,
Jacob Rhodes,jacobrhodes@yahoo.com,0117 4960716,97,99,True,
Donald Smith,donaldsmith@gmail.com,+441214960180,60,93,True,
Jade Patel,jadepatel@hotmail.com,(01632) 960 805,73,84,True,
Abbie Skinner,abbieskinner@hotmail.com,+443069990186,79,74,True,
Jane Patel,janepatel@yahoo.com,+44(0)141 4960630,75,77,True,
Roy Holt,royholt@hotmail.com,0131 4960287,56,85,False,Low score
Rita Goodwin,ritagoodwin@yahoo.com,(0306)9990969,75,66,False,Low attendance
Gavin Jackson,gavinjackson@yahoo.com,+44(0)29 2018 0936,64,76,True,
Sharon Mitchell,sharonmitchell@gmail.com,(0131)4960533,97,90,True,
Francesca Lloyd,francescalloyd@yahoo.com,+441614960372,51,78,False,Low score
Tony Williams,tonywilliams@gmail.com,+44(0)131 496 0817,93,90,True,
Olivia Fletcher,oliviafletcher@gmail.com,(0116) 4960839,99,87,True,
Chloe Morgan,chloemorgan@gmail.com,+44(0)114 4960069,62,69,False,Low attendance
Joseph Davison,josephdavison@hotmail.com,(0161) 496 0889,52,81,False,Low score
Abbie Evans,abbieevans@hotmail.com,(020) 7496 0903,99,72,True,
Sophie Smith,sophiesmith@hotmail.com,(029) 2018858,94,90,True,
Donald Allan,donaldallan@hotmail.com,+44(0)116 4960776,100,65,False,Low attendance
Amy Hunter,amyhunter@yahoo.com,(0191) 4960582,57,83,False,Low score
Cheryl Richards,cherylrichards@yahoo.com,01514960114,76,79,True,
Lisa Knight,lisaknight@yahoo.com,+44(0)131 496 0676,57,96,False,Low score
Barbara Simpson,barbarasimpson@yahoo.com,+44(0)1414960972,92,86,True,
